Zone,Ward,Vehicle Number,Full Name,UserId,Route Name,Total,Covered,Not Covered,Percentage(%),Service Start Time,Service End Time
2-Bhuteswar,12,DL5TGD9454,,ak91anilkumar,W12ER3,415,344,71,82,06:15:53 AM,09:15:05 AM
2-Bhuteswar,17,M256 UP85ET 7861,,kumarsanjiv6262,W17R1,726,466,260,64,06:22:42 AM,10:08:10 AM
1-City,19,M128  UP85AG0960,,subhashthakur047,W19R2,754,573,181,75,06:35:51 AM,09:53:00 AM
1-City,19,M115 UP85AG0887_C,,subhashthakur047,W19R3,204,174,30,85,06:21:44 AM,10:36:50 AM
1-City,22,M134 UP85AG0970,,charansingh1044,W22R1,873,609,264,69,06:43:44 AM,11:52:51 AM
3-Aurangabad,29,M253 UP85ET 7854,,n/a,W29R2,486,416,70,85,07:07:49 AM,10:06:49 AM
2-Bhuteswar,30,M009 UP14PT7717,,mohitsaini09610,W30R1,562,405,157,72,06:00:39 AM,11:57:41 AM
4-Vrindavan,34,M265 UP14PT8095,,manvendra11899,W34R2,789,719,70,91,07:01:56 AM,10:37:10 AM
4-Vrindavan,34,MR011-70145214,,manvendra11899,W34WBR1,243,163,80,67,06:31:50 AM,09:01:07 AM
3-Aurangabad,38,M024 UP14PT7999,,sandeep080684,W38R2,1130,527,603,46,07:22:49 AM,11:43:59 AM
3-Aurangabad,41,M020 UP14PT7998,,chaudharyaman90735,W41R1,817,495,322,60,06:47:44 AM,09:31:58 AM
2-Bhuteswar,43,M036 UP14PT8105_C,,n/a,W43R3,1007,723,284,71,07:17:45 AM,10:19:55 AM
4-Vrindavan,51,M244 UP85AG0789_C,,manvendra11899,W51R3,765,691,74,90,06:19:55 AM,09:21:29 AM
3-Aurangabad,52,M235 UP85ET 7838_C,,chaudharyaman90735,W52R2,480,421,59,87,07:13:44 AM,11:11:50 AM
2-Bhuteswar,55,M017 UP14PT7724,,surendrasagar1040,W55R3,871,852,19,97,06:12:45 AM,10:17:51 AM
2-Bhuteswar,58,N/A,,N/A,W58R2,50,N/A,50,N/A,NA,NA
1-City,05,M080  UP85AG0795_C,,gaurigujjar70,W5R1,598,598,N/A,100,07:28:36 AM,11:29:43 AM
1-City,61,M252 UP85ET 7850_C,,deepaks30122003,W61R1_C,232,180,52,77,06:28:48 AM,11:05:50 AM
1-City,61,MR018-70143474,,deepaks30122003,W61WBR4,212,162,50,76,06:40:50 AM,09:53:54 AM
3-Aurangabad,10,M268 UP85ET 7848,,dilipsingh2071994,W10R1,1445,1165,280,80,06:00:41 AM,09:11:44 AM
3-Aurangabad,11,M042 UP85AG0883,,ankit8899270623,W11R1,542,350,192,64,07:03:42 AM,08:04:42 AM
2-Bhuteswar,12,M004 UP14PT7951,,ak91anilkumar,W12R4,1254,905,349,72,06:29:50 AM,09:57:17 AM
4-Vrindavan,13,M113   UP85AGT0966,,hemant010798,W13R1,784,369,415,47,06:52:57 AM,07:54:05 AM
2-Bhuteswar,16,N/A,,kumarsanjiv6262,W16R5,27,N/A,27,N/A,NA,NA
3-Aurangabad,01,N/A,,ankit8899270623,W1R3,137,N/A,137,N/A,NA,NA
4-Vrindavan,21,N/A,,N/A,W21R3,468,N/A,468,N/A,NA,NA
4-VRINDAVAN,25,M267 UP85ET 7855,,hemant010798,W25R2,609,482,127,79,06:48:52 AM,10:12:59 AM
1-City,35,N/A,,N/A,W35MR1,214,N/A,214,N/A,NA,NA
2-Bhuteswar,36,M019 UP14PT7945,,n/a,W36R2,552,474,78,85,06:37:39 AM,08:50:39 AM
2-Bhuteswar,39,M142 UP85ET 7844,,n/a,W39R3,1017,634,383,62,07:22:47 AM,09:51:48 AM
3-Aurangabad,41,M088  UP85AG0791_C,,chaudharyaman90735,W41R3,305,83,222,27,06:28:42 AM,10:14:45 AM
2-Bhuteswar,43,M109   UP85AG0794,,royalvisal3,W43R1,500,154,346,30,06:51:41 AM,11:11:49 AM
2-Bhuteswar,46,55556,,surendrasagar1040,W46R1,1706,1126,580,66,06:00:39 AM,11:53:41 AM
3-Aurangabad,52,UP85AG0949,,chaudharyaman90735,W52R3,462,431,31,93,06:37:46 AM,10:43:46 AM
2-Bhuteswar,56,N/A,,N/A,W56WBR2,120,N/A,120,N/A,NA,NA
1-City,63,MR010-70146501,,N/A,W63MR1,265,67,198,25,06:00:53 AM,06:00:53 AM
4-Vrindavan,66,MR006-70143904,,gaurvishnu43,W66WBR1,93,80,13,86,06:27:50 AM,10:37:06 AM
1-City,68,M178 UP85AG0760,,viresh.thakhur1990,W68R1,1305,1009,296,77,06:14:38 AM,11:54:40 AM
3-Aurangabad,06,M273 UP85ET 7846,,dilipsingh2071994,W6R4,346,2,344,N/A,09:07:53 AM,09:07:53 AM
1-City,07,M259 UP85ET 7852,,subhashthakur047,W7R1,724,515,209,71,07:03:58 AM,09:10:42 AM
4-Vrindavan,08,M263 UP85ET 7862,,hemant010798,W8R2,504,424,80,84,07:24:59 AM,10:41:13 AM
4-Vrindavan,09,MR008-70148556,,N/A,W9MR1,47,1,46,2,06:00:54 AM,06:00:54 AM
2-Bhuteswar,12,MR013-70147533,,ak91anilkumar,W12MR1,200,161,39,80,06:31:48 AM,10:37:01 AM
3-Aurangabad,15,N/A,,ankit8899270623,W15R2,1527,N/A,1527,N/A,NA,NA
1-City,18,M050 UP85AG0772_C,,jitendrasingh7088166,W18R2,202,202,N/A,100,06:20:41 AM,08:58:46 AM
2-Bhuteswar,24,M199  UP85AG0773_C,,ak91anilkumar,W24R4(C),141,68,73,48,07:10:58 AM,11:14:51 AM
1-City,02,M092 UP14PT7727_C,,sudeshbharti746786,W2R2(C),262,193,69,73,06:37:50 AM,10:30:02 AM
2-BHUTESWAR,30,M127   UP85AG0762,,mohitsaini09610,W30R2,611,596,15,97,06:14:39 AM,09:06:44 AM
3-Aurangabad,32,M234 UP85ET 7832,,n/a,W32R3,626,478,148,76,06:34:50 AM,10:40:15 AM
3-Aurangabad,33,M091 UP85AG0778,,n/a,W33R5,242,132,110,54,07:13:54 AM,11:25:51 AM
1-City,35,M008 UP14PT7996,,gauravsingh908465,W35R2,436,273,163,62,07:02:45 AM,11:45:47 AM
2-Bhuteswar,36,M182 UP85AG0797,,N/A,W36R1,740,662,78,89,06:53:38 AM,11:15:44 AM
2-Bhuteswar,39,M266 UP85ET 7864,,n/a,W39R1,1627,45,1582,2,07:33:45 AM,11:14:48 AM
1-City,42,M173 UP85AG0884,,charansingh1044,W42R1,638,319,319,50,07:50:55 AM,12:51:50 PM
2-Bhuteswar,43,M093 UP85AG26941,,n/a,W43R4,309,133,176,43,09:11:52 AM,10:16:50 AM
2-BHUTESWAR,44,M012 UP14PT7946,,gauravsingh908465,W44R1,797,691,106,86,06:18:43 AM,10:42:44 AM
2-Bhuteswar,45,N/A,,N/A,W45MR1,429,N/A,429,N/A,NA,NA
2-Bhuteswar,47,M207 UP85AG0965,,saraswatanshu28,W47R2,1006,705,301,70,06:34:39 AM,08:24:41 AM
2-BHUTESWAR,47,M079   UP85AG0754,,saraswatanshu28,W47R3,500,483,17,96,07:17:49 AM,10:28:57 AM
2-Bhuteswar,48,M258 UP85ET 7843,,n/a,W48R1,615,331,284,53,08:24:40 AM,10:18:40 AM
1-City,49,M051 UP85AG0892,,saraswatanshu28,W49R1,145,65,80,44,07:01:54 AM,07:45:03 AM
2-Bhuteswar,54,M231 UP85ET 7837,,viresh.thakhur1990,W54R3,351,261,90,74,06:53:55 AM,10:47:43 AM
2-Bhuteswar,55,M010 UP14PT8107,,surendrasagar1040,W55R1,1009,992,17,98,06:16:46 AM,10:32:56 AM
2-Bhuteswar,55,MUP85AG0798,,surendrasagar1040,W55R2,1887,1576,311,83,06:05:45 AM,09:15:54 AM
2-Bhuteswar,56,N/A,,n/a,W56R4_COMMERCIAL,1,N/A,1,N/A,NA,NA
3-Aurangabad,57,M185    UP85AG0756,,chaudharyaman90735,W57R2,1075,703,372,65,07:35:46 AM,11:18:51 AM
3-Aurangabad,59,UP85AG0777,,n/a,W59R1,1118,1088,30,97,06:41:50 AM,09:23:57 AM
